Country Name,Country Code,Indicator Name,Indicator Code,1960,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belize,BLZ,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.44343996,5.028429985,5.796929836,,5.206820011,5.299270153,,,,5.687759876,6.095779896,6.613299847,,,6.217289925,6.425839901,,,
Bermuda,BMU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,4.107900143,,3.434420109,,,,,,,,,,3.034490108,,,,,3.136199951,3.150650024,3.4760499,,,,,,2.152270079,,,,,1.666270018,1.775879979,1.988770008,,,,2.615190029,2.6442101,,,,1.782850027,1.704300046,,
Bolivia,BOL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,4.784210205,5.608170033,4.657410145,,5.523009777,5.659319878,5.473420143,5.899459839,6.230309963,6.379039764,,,6.313610077,,7.021910191,8.063099861,7.593259811,6.898079872,6.430530071,6.253680229,7.285459995,,,
Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,4.473070145,,,4.767849922,3.792639971,3.945940018,3.832319975,3.747319937,,3.96991992,4.480289936,4.869490147,4.974740028,5.268509865,5.468530178,5.642769814,5.745790005,5.795159817,5.99394989,,,,
Barbados,BRB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,6.638130188,,,,,,,,4.254650116,4.621600151,5.934869766,5.763380051,6.121339798,5.904059887,5.556930065,,5.11634016,5.061079979,5.327420235,5.875840187,,5.62322998,5.479249954,6.573299885,,,
Brunei Darussalam,BRN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,6.239150047,4.995019913,4.039289951,8.793290138,3.39270997,1.961339951,1.970080018,,2.114239931,1.545519948,1.191079974,1.616780043,1.697149992,,,,,4.737730026,5.409029961,4.69012022,3.959959984,3.668940067,3.747689962,4.29403019,,,,,5.253950119,4.932050228,3.705909967,,,,,,,,,,2.046610117,3.322099924,2.889590025,,3.353189945,,4.425409794,
Bhutan,BTN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.513790131,5.71780014,,,6.417990208,7.078100204,,,4.797500134,4.626719952,4.024469852,4.652579784,,5.589660168,5.924600124,7.361690044,,
Botswana,BWA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,4.387239933,3.906389952,3.262789965,3.674240112,5.649429798,6.063960075,5.40031004,5.952139854,6.141729832,5.46931982,,,5.552269936,5.551660061,5.650720119,5.185929775,6.117730141,6.151110172,,5.739630222,,6.840610027,,,,,,,,,,,,,10.67858982,,8.851490021,,9.632920265,,,,,,,,
Central African Republic,CAF,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,3.165489912,,,,,,,,2.205749989,2.547650099,,,2.245660067,2.273780107,,,,,,,,1.691059947,1.612900019,,1.519539952,1.540789962,1.624439955,1.636940002,1.414530039,1.312649965,1.290099978,1.303200006,1.204089999,1.223930001,,,,,,
Canada,CAN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,7.710189819,7.634059906,7.033770084,6.706729889,6.438020229,6.714310169,6.723080158,7.099229813,6.725389957,6.478630066,6.434430122,6.521289825,6.876399994,6.639150143,6.216149807,6.045100212,6.329889774,6.175350189,6.102240086,5.992229939,6.884270191,6.773389816,7.704470158,6.676509857,6.320509911,,,5.511360168,5.551690102,5.466259956,4.98032999,5.012949944,,,4.786389828,,4.787439823,4.648700237,4.86123991,5.360919952,5.281219959,,,,,,
